17,2005,7 Seconds,"Action, Comedy, Crime"
18,1994,Immortal Beloved,"Biography, Drama, Music"
30,2003,Something's Gotta Give,"Comedy, Drama, Romance"
44,1996,Spitfire Grill,Drama
58,1996,Dragonheart,"Action, Adventure, Fantasy"
77,1995,Congo,"Action, Adventure, Mystery"
83,1983,Silkwood,"Biography, Drama, History"
97,2002,Mostly Martha,"Comedy, Romance, Drama"
108,2004,Spartan,"Action, Crime, Drama"
118,1985,Rambo: First Blood Part II,"Action, Adventure, Thriller"
143,1997,The Game,"Drama, Mystery, Thriller"
148,2001,Sweet November,"Drama, Romance"
152,1995,A Little Princess,"Drama, Family, Fantasy"
156,1992,Husbands and Wives,"Comedy, Drama, Romance"
165,1982,Richard Pryor: Live on the Sunset Strip,"Documentary, Comedy"
166,1980,Fame,"Drama, Music, Musical"
167,2004,The Chorus,"Drama, Music"
171,1957,Funny Face,"Comedy, Musical, Romance"
175,1992,Reservoir Dogs,"Crime, Drama, Thriller"
181,2004,The Last Shot,"Comedy, Romance"
187,2002,Death to Smoochy,"Comedy, Crime, Drama"
188,2005,Dead Birds,"Horror, Thriller, Western"
189,1982,Airplane II: The Sequel,"Comedy, Sci-Fi"
197,2004,Taking Lives,"Crime, Mystery, Thriller"
199,1978,The Deer Hunter,"Drama, History, War"
225,2004,The Cookout,Comedy
240,1942,Woman of the Year,"Comedy, Drama, Romance"
241,1959,North by Northwest,"Action, Adventure, Crime"
252,2002,Stuart Little 2,"Animation, Adventure, Comedy"
253,1935,A Night at the Opera,"Comedy, Music, Musical"
256,2000,Ghost Dog: The Way of the Samurai,"Action, Crime, Drama"
257,1973,Charlotte's Web,"Comedy, Family, Fantasy"
262,1974,Herbie Rides Again,"Comedy, Family, Fantasy"
268,1980,The Final Countdown,"Action, Sci-Fi"
273,2004,Taxi,"Action, Comedy, Crime"
275,2002,Evelyn,Drama
283,1996,If These Walls Could Talk,"Drama, Thriller"
285,1997,The Devil's Own,"Action, Crime, Drama"
295,1995,Ace Ventura: When Nature Calls,"Adventure, Comedy"
299,2001,Bridget Jones's Diary,"Comedy, Drama, Romance"
305,1996,Jack,"Comedy, Drama, Fantasy"
311,1994,Ed Wood,"Biography, Comedy, Drama"
312,2000,High Fidelity,"Comedy, Drama, Music"
313,2000,Pay It Forward,Drama
329,1999,Dogma,"Adventure, Comedy, Drama"
330,1998,Wild Things,"Crime, Drama, Mystery"
331,1997,Chasing Amy,"Comedy, Drama, Romance"
334,2005,The Pacifier,"Action, Comedy, Drama"
348,1988,The Last Temptation of Christ,"Drama, History"
353,2002,Life or Something Like It,"Comedy, Romance"
357,2003,House of Sand and Fog,Drama
367,2003,Spun,"Comedy, Crime, Drama"
378,2003,Party Monster,"Biography, Crime, Drama"
381,1991,Out for Justice,"Action, Crime, Drama"
393,1998,The Replacement Killers,"Action, Crime, Thriller"
405,1987,Wings of Desire,"Drama, Fantasy, Romance"
406,2005,Hostage,"Action, Crime, Drama"
413,2002,Igby Goes Down,"Comedy, Drama"
416,2003,Elephant,"Crime, Drama, Thriller"
418,2004,The Deal,"Comedy, Romance"
424,1998,Happiness,"Comedy, Drama"
433,1993,Untamed Heart,"Comedy, Drama, Romance"
436,1985,Girls Just Want to Have Fun,"Comedy, Music, Romance"
442,1988,Mississippi Burning,"Crime, Drama, History"
443,2002,Rabbit-Proof Fence,"Adventure, Biography, Drama"
445,1996,Michael Collins,"Biography, Drama, Thriller"
457,2004,Kill Bill: Vol. 2,"Action, Crime, Drama"
459,1996,Basquiat,"Biography, Drama"
468,2003,The Matrix: Revolutions,"Action, Sci-Fi"
471,1931,City Lights,"Comedy, Drama, Romance"
473,1997,Princess Mononoke,"Animation, Adventure, Fantasy"
482,2002,Frida,"Biography, Drama, Romance"
483,2001,Rush Hour 2,"Action, Comedy, Crime"
501,1975,Three Days of the Condor,"Mystery, Thriller"
516,2001,Monsoon Wedding,"Comedy, Drama, Romance"
517,2001,Two Can Play That Game,"Comedy, Romance"
528,2005,The Hitchhiker's Guide to the Galaxy,"Adventure, Comedy, Sci-Fi"
535,1960,The Alamo,"Drama, History, War"
548,1991,Hudson Hawk,"Action, Adventure, Comedy"
550,1995,First Knight,"Action, Adventure, Romance"
554,1972,Solaris,"Drama, Mystery, Romance"
563,2001,Jimmy Neutron: Boy Genius,"Animation, Action, Adventure"
564,1990,Predator 2,"Action, Horror, Sci-Fi"
571,1999,American Beauty,"Drama, Romance"
599,1989,Sea of Love,"Crime, Drama, Mystery"
607,1994,Speed,"Action, Adventure, Crime"
615,1999,An Ideal Husband,"Comedy, Romance"
621,1997,Armageddon,"Action, Adventure, Sci-Fi"
629,1984,Firestarter,"Action, Horror, Sci-Fi"
631,2005,Unleashed,"Action, Crime, Drama"
636,1980,Stir Crazy,"Comedy, Crime"
645,2004,Dear Frankie,"Drama, Romance"
658,1991,Robin Hood: Prince of Thieves,"Action, Adventure, Drama"
660,2000,Saving Grace,"Comedy, Crime"
662,1995,Rob Roy,"Adventure, Biography, History"
674,1988,Hellbound: Hellraiser II,"Horror, Thriller"
677,2001,In the Mood for Love,"Drama, Romance"
681,1986,Police Academy 3: Back in Training,Comedy
686,2000,Bedazzled,"Comedy, Fantasy, Romance"
689,1998,One True Thing,Drama
692,1992,The Hand that Rocks the Cradle,Thriller
696,1996,Last Man Standing,"Action, Crime, Drama"
700,1997,Todd McFarlane's Spawn,"Animation, Action, Horror"
705,1989,Major League,"Comedy, Sport"
708,2000,The Perfect Storm,"Action, Adventure, Drama"
711,1994,Dolores Claiborne,"Crime, Drama, Mystery"
720,1989,Roger & Me,Documentary
723,1991,Curly Sue,"Comedy, Drama, Family"
725,2004,Woman Thou Art Loosed,Drama
732,2005,11:14,"Comedy, Crime, Drama"
733,1988,Dead Ringers,"Drama, Thriller"
734,1992,Indochine,"Drama, Romance"
746,2001,Domestic Disturbance,"Crime, Mystery, Thriller"
748,2002,I Can Do Bad All By Myself,"Comedy, Drama"
750,2004,The Librarian: Quest for the Spear,"Action, Adventure, Comedy"
758,2004,Mean Girls,Comedy
759,2001,Fifteen Minutes,Short
760,2005,Pooh's Heffalump Movie,"Animation, Family, Fantasy"
763,1972,The Poseidon Adventure,"Action, Adventure, Drama"
788,1994,Clerks,Comedy
789,1991,Boyz N the Hood,"Crime, Drama"
798,1975,Jaws,"Adventure, Drama, Thriller"
811,1992,The Lawnmower Man,"Horror, Sci-Fi"
817,1980,My Bodyguard,"Comedy, Drama, Family"
818,1976,Logan's Run,"Action, Sci-Fi"
819,1998,The Faculty,"Horror, Sci-Fi"
825,1983,Bill Cosby: Himself,"Documentary, Comedy"
831,1987,Mannequin,"Comedy, Fantasy, Romance"
833,1996,White Squall,"Adventure, Drama"
843,1999,Mansfield Park,"Comedy, Drama, Romance"
846,2004,Enduring Love,"Drama, Mystery, Romance"
851,1990,Back to the Future Part III,"Action, Adventure, Comedy"
859,1982,Creepshow,"Comedy, Fantasy, Horror"
862,2002,Tuck Everlasting,"Drama, Romance, Family"
872,1954,Seven Samurai,"Action, Adventure, Drama"
883,1992,Deep Cover,"Action, Crime, Thriller"
886,2004,Ray,"Biography, Drama, Music"
896,1995,Dangerous Minds,"Biography, Drama"
897,2004,Bride and Prejudice,"Short, Crime"
900,1994,Eat Drink Man Woman,"Comedy, Drama, Romance"
907,1930,Animal Crackers,"Comedy, Musical"
908,1981,Sense and Sensibility,"Drama, Romance"
937,1998,Fallen,"Action, Crime, Drama"
940,1997,Hercules,"Animation, Adventure, Comedy"
953,1966,Fahrenheit 451,"Drama, Sci-Fi"
954,2003,I Capture the Castle,"Drama, Romance"
962,2002,I Spy,"Action, Adventure, Comedy"
963,1951,A Streetcar Named Desire,Drama
985,1999,The Mummy,"Action, Adventure, Fantasy"
989,2004,The Door in the Floor,"Comedy, Drama"
992,1972,The Cowboys,"Adventure, Drama, Western"
994,1984,Children of the Corn,"Horror, Thriller"
996,1961,Yojimbo,"Action, Drama, Thriller"
1011,1983,All the Right Moves,"Drama, Romance, Sport"
1012,1960,13 Ghosts,Horror
1021,1984,Cloak & Dagger,"Action, Adventure, Crime"
1026,1985,Silver Bullet,Horror
1027,1993,Rising Sun,"Action, Crime, Drama"
1032,1992,Hard Boiled,"Action, Crime, Drama"
1035,1994,Disclosure,"Drama, Thriller"
1046,2003,Uptown Girls,"Comedy, Drama, Romance"
1060,2005,King's Ransom,"Comedy, Crime"
1066,1978,Superman: The Movie,Documentary
1073,2005,Coach Carter,"Drama, Sport"
1096,1989,Harlem Nights,"Comedy, Crime, Drama"
1098,1965,The Battle of Algiers,"Drama, War"
1102,2001,Training Day,"Crime, Drama, Thriller"
1104,1983,Krull,"Action, Adventure, Fantasy"
1110,2003,Secondhand Lions,"Comedy, Drama, Family"
1123,1993,Dragon: The Bruce Lee Story,"Action, Biography, Drama"
1129,1935,Mutiny on the Bounty,"Adventure, Drama, History"
1134,2005,Empire Falls,"Drama, Romance"
